MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
BINAURAL,AZIMUTH,TRUMPET,0,-125,1
BINAURAL,AZIMUTH,TRUMPET,90,0,1
BINAURAL,AZIMUTH,TRUMPET,-90,180,1
BINAURAL,AZIMUTH,TRUMPET,150,-40,1
BINAURAL,AZIMUTH,TRUMPET,30,-20,1
BINAURAL,AZIMUTH,TRUMPET,-150,-20,1
BINAURAL,AZIMUTH,TRUMPET,180,,1
BINAURAL,AZIMUTH,TRUMPET,-30,,1
BINAURAL,ELEVATION,DUCK,-15,80,1
BINAURAL,ELEVATION,DUCK,90,55,1
BINAURAL,ELEVATION,DUCK,-45,0,1
BINAURAL,ELEVATION,DUCK,-150,30,1
BINAURAL,ELEVATION,DUCK,105,30,1
BINAURAL,ELEVATION,DUCK,-135,180,1
BINAURAL,ELEVATION,DUCK,30,100,1
BINAURAL,ELEVATION,DUCK,135,0,1
BINAURAL,AZIMUTH,NOISE,0,-120,1
BINAURAL,AZIMUTH,NOISE,90,-30,1
BINAURAL,AZIMUTH,NOISE,-90,180,1
BINAURAL,AZIMUTH,NOISE,150,-10,1
BINAURAL,AZIMUTH,NOISE,30,30,1
BINAURAL,AZIMUTH,NOISE,-150,5,1
BINAURAL,AZIMUTH,NOISE,180,-5,1
BINAURAL,AZIMUTH,NOISE,-30,15,1
BINAURAL,ELEVATION,NOISE,-15,70,1
BINAURAL,ELEVATION,NOISE,90,50,1
BINAURAL,ELEVATION,NOISE,-45,90,1
BINAURAL,ELEVATION,NOISE,-150,-60,1
BINAURAL,ELEVATION,NOISE,105,,1
BINAURAL,ELEVATION,NOISE,-135,50,1
BINAURAL,ELEVATION,NOISE,30,15,1
BINAURAL,ELEVATION,NOISE,135,-15,1
BINAURAL,AZIMUTH,ANGRY,0,,1
BINAURAL,AZIMUTH,ANGRY,90,180,1
BINAURAL,AZIMUTH,ANGRY,-90,-30,1
BINAURAL,AZIMUTH,ANGRY,150,-40,1
BINAURAL,AZIMUTH,ANGRY,30,-5,1
BINAURAL,AZIMUTH,ANGRY,-150,,1
BINAURAL,AZIMUTH,ANGRY,180,-90,1
BINAURAL,AZIMUTH,ANGRY,-30,-50,1
BINAURAL,ELEVATION,SWEET,-15,70,1
BINAURAL,ELEVATION,SWEET,90,60,1
BINAURAL,ELEVATION,SWEET,-45,30,1
BINAURAL,ELEVATION,SWEET,-150,0,1
BINAURAL,ELEVATION,SWEET,105,-30,1
BINAURAL,ELEVATION,SWEET,-135,-50,1
BINAURAL,ELEVATION,SWEET,30,,1
BINAURAL,ELEVATION,SWEET,135,,1
AMBEO,AZIMUTH,TRUMPET,0,20,1
AMBEO,AZIMUTH,TRUMPET,90,110,1
AMBEO,AZIMUTH,TRUMPET,-90,115,1
AMBEO,AZIMUTH,TRUMPET,150,100,1
AMBEO,AZIMUTH,TRUMPET,30,95,1
AMBEO,AZIMUTH,TRUMPET,-150,70,1
AMBEO,AZIMUTH,TRUMPET,180,0,1
AMBEO,AZIMUTH,TRUMPET,-30,90,1
AMBEO,ELEVATION,DUCK,-15,60,1
AMBEO,ELEVATION,DUCK,90,60,1
AMBEO,ELEVATION,DUCK,-45,180,1
AMBEO,ELEVATION,DUCK,-150,110,1
AMBEO,ELEVATION,DUCK,105,140,1
AMBEO,ELEVATION,DUCK,-135,160,1
AMBEO,ELEVATION,DUCK,30,180,1
AMBEO,ELEVATION,DUCK,135,-150,1
AMBEO,AZIMUTH,NOISE,0,180,1
AMBEO,AZIMUTH,NOISE,90,120,1
AMBEO,AZIMUTH,NOISE,-90,75,1
AMBEO,AZIMUTH,NOISE,150,-50,1
AMBEO,AZIMUTH,NOISE,30,130,1
AMBEO,AZIMUTH,NOISE,-150,110,1
AMBEO,AZIMUTH,NOISE,180,180,1
AMBEO,AZIMUTH,NOISE,-30,-40,1
AMBEO,ELEVATION,NOISE,-15,170,1
AMBEO,ELEVATION,NOISE,90,135,1
AMBEO,ELEVATION,NOISE,-45,180,1
AMBEO,ELEVATION,NOISE,-150,-160,1
AMBEO,ELEVATION,NOISE,105,50,1
AMBEO,ELEVATION,NOISE,-135,-140,1
AMBEO,ELEVATION,NOISE,30,-90,1
AMBEO,ELEVATION,NOISE,135,-135,1
AMBEO,AZIMUTH,ANGRY,0,-30,1
